2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Загружена статистика активности: count=24, mean=4.16, std=10.91
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.99мин, std=10.71, count=25
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=1.0мин, среднее=3.88мин, std=10.51, count=26
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.74мин, std=10.34, count=27
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.60мин, std=10.17, count=28
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.48мин, std=10.01, count=29
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.36мин, std=9.85, count=30
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.25мин, std=9.71, count=31
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.15мин, std=9.57, count=32
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.06мин, std=9.43, count=33
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=14.8мин, среднее=3.40мин, std=9.50, count=34
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=26.0мин, среднее=4.05мин, std=10.11, count=35
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=13.5мин, среднее=4.31мин, std=10.09, count=36
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=35.8мин, среднее=5.16мин, std=11.22, count=37
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=5.02мин, std=11.10, count=38
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.90мин, std=10.98, count=39
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.77мин, std=10.86, count=40
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.66мин, std=10.75, count=41
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.55мин, std=10.65, count=42
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.44мин, std=10.54, count=43
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.34мин, std=10.44, count=44
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.24мин, std=10.34, count=45
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.15мин, std=10.24, count=46
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=4.06мин, std=10.15, count=47
2025-06-28 08:45:08 - MEXCScalpingAssistant - INFO - 📊 Обновлена статистика: значение=0.0мин, среднее=3.98мин, std=10.06, count=48
